Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,68.709999,69.300003,68.669998,69.190002,68.210739,11252800
2019-11-18,68.699997,68.820000,68.300003,68.519997,67.550217,10095600
2019-11-19,68.400002,68.559998,67.779999,67.820000,66.860130,12605500
2019-11-20,67.669998,68.540001,67.320000,68.029999,67.067154,16930700
2019-11-21,68.019997,69.750000,67.919998,69.669998,68.683945,14080500
2019-11-22,69.709999,70.180000,69.330002,69.370003,68.388191,12143600
2019-11-25,69.370003,69.440002,68.709999,68.910004,67.934700,10670000
2019-11-26,68.919998,69.040001,68.440002,68.739998,67.767105,15457000
2019-11-27,68.760002,69.089996,68.410004,68.699997,67.727669,8393900
2019-11-29,68.330002,68.529999,68.000000,68.129997,67.165733,7980800
2019-12-02,68.500000,68.879997,68.370003,68.419998,67.451630,11116900
2019-12-03,68.000000,68.250000,67.519997,67.879997,66.919273,12245800
2019-12-04,68.250000,68.760002,68.139999,68.650002,67.678383,11049700
2019-12-05,68.889999,68.970001,68.209999,68.410004,67.441780,13109000
2019-12-06,68.760002,69.870003,68.760002,69.510002,68.526207,13710800
2019-12-09,69.080002,69.970001,69.019997,69.660004,68.674088,12397700
2019-12-10,69.660004,70.150002,68.699997,69.059998,68.082573,14281800
2019-12-11,68.739998,69.760002,68.669998,68.959999,67.983994,13748400
2019-12-12,68.959999,70.379997,68.900002,70.339996,69.344460,17068500
2019-12-13,70.480003,70.540001,69.120003,69.230003,68.250175,12274500
2019-12-16,69.699997,70.250000,69.699997,70.000000,69.009270,15208700
2019-12-17,69.980003,70.379997,69.309998,69.680000,68.693802,14450700
2019-12-18,69.629997,70.290001,69.279999,69.870003,68.881119,13652300
2019-12-19,69.989998,70.050003,69.239998,69.389999,68.407906,13273200
2019-12-20,69.860001,70.230003,69.389999,69.940002,68.950127,35092000
2019-12-23,69.860001,70.300003,69.529999,70.290001,69.295166,14172500
2019-12-24,70.349998,70.500000,69.910004,70.019997,69.028984,3979400
2019-12-26,70.190002,70.500000,70.010002,70.129997,69.137428,8840200
2019-12-27,70.199997,70.309998,69.879997,69.889999,68.900826,10516100
2019-12-30,70.089996,70.440002,69.400002,69.480003,68.496635,12689400
2019-12-31,69.019997,69.800003,69.010002,69.779999,68.792389,13151800
2020-01-02,70.239998,71.019997,70.239998,70.900002,69.896538,12456400
2020-01-03,71.339996,71.370003,70.160004,70.330002,69.334602,17386900
2020-01-06,70.320000,71.360001,70.230003,70.870003,69.866966,20081900
2020-01-07,70.500000,70.519997,69.510002,70.290001,69.295166,17387700
2020-01-08,70.110001,70.290001,69.169998,69.230003,68.250175,15137700
2020-01-09,69.139999,69.900002,68.629997,69.760002,68.772675,14811800
2020-01-10,69.930000,69.959999,69.120003,69.139999,68.161446,11995600
2020-01-13,69.199997,69.870003,69.110001,69.800003,68.812103,9953900
2020-01-14,69.379997,69.580002,68.889999,69.199997,68.220596,16261000
2020-01-15,69.199997,69.589996,68.889999,69.089996,68.112152,11390300
2020-01-16,69.300003,69.580002,68.800003,68.820000,67.845970,13340300
2020-01-17,68.750000,69.080002,68.290001,68.559998,67.589653,18144100
2020-01-21,68.379997,68.419998,67.510002,67.580002,66.623528,17982600
2020-01-22,67.559998,67.699997,67.000000,67.190002,66.239044,17033100
2020-01-23,66.709999,66.930000,66.050003,66.769997,65.824982,19605900
2020-01-24,66.540001,66.680000,66.040001,66.320000,65.381355,18238600
2020-01-27,65.419998,65.730003,64.699997,64.739998,63.823715,21231000
